liquid_inlet_conc_mol_comp_H2SO4,solid_inlet_flow_mass,liquid_outlet_flow_vol,liquid_outlet_conc_mass_comp_H,liquid_outlet_conc_mass_comp_HSO4,liquid_outlet_conc_mass_comp_SO4,liquid_outlet_conc_mass_comp_Al,liquid_outlet_conc_mass_comp_Ca,liquid_outlet_conc_mass_comp_Ce,liquid_outlet_conc_mass_comp_Dy,liquid_outlet_conc_mass_comp_Fe,liquid_outlet_conc_mass_comp_Gd,liquid_outlet_conc_mass_comp_La,liquid_outlet_conc_mass_comp_Nd,liquid_outlet_conc_mass_comp_Pr,liquid_outlet_conc_mass_comp_Sc,liquid_outlet_conc_mass_comp_Sm,liquid_outlet_conc_mass_comp_Y,solid_outlet_flow_mass,solid_outlet_mass_frac_comp_Al2O3,solid_outlet_mass_frac_comp_CaO,solid_outlet_mass_frac_comp_Ce2O3,solid_outlet_mass_frac_comp_Dy2O3,solid_outlet_mass_frac_comp_Fe2O3,solid_outlet_mass_frac_comp_Gd2O3,solid_outlet_mass_frac_comp_La2O3,solid_outlet_mass_frac_comp_Nd2O3,solid_outlet_mass_frac_comp_Pr2O3,solid_outlet_mass_frac_comp_Sc2O3,solid_outlet_mass_frac_comp_Sm2O3,solid_outlet_mass_frac_comp_Y2O3,solid_outlet_mass_frac_comp_inerts
3.1852140961564945,3.4150775162720826,3.192568037068164,3.210691111402723,3.125949703310883,3.200167149538606,3.1820583640001314,3.3919979173617185,3.2905969675256714,3.310232495487051,3.216749160742104,3.2409885435128443,3.3192136658099534,3.276014674167866,3.316823818033723,3.230068248820654,3.2780486399346005,3.2714435295595106,3.4218001224587615,3.89376748885647,3.5557431424827297,3.6581372160799117,3.645658195102639,3.7459609588600453,3.660641172374837,3.638476926937866,3.6647006851285786,3.633499208844801,3.7078436599671405,3.678969318216287,3.6824850001228597,3.2012528039718697
3.447330493199153,3.840129193932688,3.464134252825249,3.2484026986152257,3.2312787698263405,3.47939016366147,3.3540622955778514,3.8010434664076302,3.6395652557422937,3.6695086535007255,3.512594308498895,3.5621764280560675,3.6850731081045907,3.616451721019727,3.682202984090984,3.5368191447300266,3.6175776550880325,3.6061985479219154,3.836834272359842,3.8689092035604933,3.580242248700555,3.6289381388091937,3.6251410172158858,3.71502277653936,3.6212365200833654,3.615899349626709,3.6327221974480493,3.6073921184366524,3.678440565901263,3.651834594310759,3.6559638448901444,3.2289975508240127
3.0751920350151805,3.013015638511975,3.070369699890772,3.276963502507492,3.1141368661145004,3.069995282220656,3.1371168866093817,3.0218014272366283,3.046619322837446,3.0422531009801412,3.065170495531828,3.058461104565738,3.039948266635423,3.0499839159234066,3.040419132299236,3.059525595574143,3.049480985284073,3.050950586719222,3.026693367714166,3.843630151696909,3.415780938529378,3.5621471164429668,3.542729846956722,3.6642688295028623,3.56571952194669,3.5366515789759974,3.570522676561156,3.5333219982799298,3.617984436679726,3.584566974113108,3.5879646984736775,3.27194790509474
3.684945323312693,3.561948394335222,3.6815350195383263,3.4598348008359707,3.457689156444754,3.680164223548226,3.6031657645781787,3.5895844803481483,3.6349560818881317,3.6285869231065355,3.6715705344441316,3.654267218232206,3.6228987317705355,3.6408906202825064,3.6226931324799683,3.6654355763325315,3.642553181762139,3.6462765482458743,3.557903816311467,3.6860761242119566,3.347846601195999,3.4004667069339414,3.3970792922921174,3.4935676437194503,3.381492427238874,3.388215600774533,3.4028771543725367,3.3793576959815703,3.4522309601313,3.425176294844665,3.429416107425931,3.43599325023054
3.5551766914092924,3.394412092163631,3.548920032714811,3.453128080320086,3.393587791534156,3.5467735929386195,3.5103888157268637,3.424817547736434,3.485608128423696,3.4765699640688226,3.534454947664243,3.5121355505392566,3.469295255153443,3.4936824047586077,3.4692925984945977,3.5256469564400725,3.4953602486012745,3.5001834606961815,3.3947799111323604,3.6907010319462303,3.325584167634617,3.3991946194606077,3.3919959130296067,3.4949088236440127,3.3836753150843095,3.3841176543948364,3.402748565263187,3.376636286738377,3.451507561951797,3.4233344721814394,3.4272643821411743,3.4337896088729942
3.9280754543662386,3.6427640084929687,3.915503820358618,3.5556198186869734,3.644646942121105,3.903321828715896,3.815455414719909,3.685975112585607,3.7824290877369195,3.7677799121267013,3.873459464085604,3.8222112273118505,3.755625900417605,3.795590288369533,3.7553132403231473,3.858564352789833,3.8003275349821335,3.809274136715885,3.6335150162485115,3.588554941962657,3.29774197968836,3.322585674172864,3.3241002692639343,3.4055887906081543,3.298121573317391,3.315046460935929,3.3229912644324804,3.305360507009615,3.369380876431836,3.3461208285526163,3.3503660644863613,3.5269555090371654
3.32703989420365,3.1377276366644162,3.3178190980195157,3.419487840943838,3.273038769667099,3.3153211970321625,3.3422000826760856,3.166884465323499,3.241773066736312,3.2295390066300036,3.30023584441943,3.275975832991202,3.2214048828218,3.25195881152312,3.222029964668435,3.288469071317381,3.2526599917227648,3.258138756932486,3.1453696112463283,3.720418322867972,3.308852115050921,3.419093646442375,3.405383602286393,3.520217765156007,3.4101967923904586,3.3989062595904374,3.4247661581079853,3.3936098160790134,3.4732307847300525,3.4425930739147157,3.446105292917601,3.4074946015563037
3.2474584816520484,3.7195005234998053,3.2629070379971292,3.1694877514391795,3.126557454553588,3.276223487167222,3.200253873828259,3.662068218762406,3.453069380471926,3.492571359717139,3.3064250354445344,3.35188853573372,3.511087787920966,3.42358221013438,3.5063260980300415,3.3345295036254345,3.4281667734499313,3.4151247190665646,3.7213927431057274,3.9210452168934578,3.6572462872523297,3.723379352562801,3.716047348708693,3.7980302185235026,3.7244789961930582,3.708667766085677,3.72835177742565,3.702833674604575,3.7664854452244305,3.74215721233357,3.7455060568021312,3.15775651477346
3.795920351994751,3.9604169039379276,3.807707517764363,3.3851987961567085,3.454698428242798,3.817268025379144,3.64473766689879,3.954498764142984,3.8932445006570005,3.9041312143574762,3.837119160766024,3.86527137067032,3.9107697096619525,3.884424045665285,3.9101614622334075,3.847950282559413,3.8833170130623196,3.878242224986424,3.94934410659409,3.7597279815072637,3.468854715582747,3.4872725152353174,3.4896973197065955,3.57813727037682,3.465982142681046,3.4787490135699715,3.4884769054794114,3.4673586194291617,3.539690517833879,3.5133717466427274,3.5182302026588497,3.3549821583576884
3.851805329608711,3.2127860135405055,3.810001126635365,3.735658383262764,3.730153853498176,3.775831501468704,3.8202630949251564,3.2811167817912756,3.485738323692016,3.4548437123175635,3.6940425728710973,3.5654622517427255,3.428322429779364,3.5135489740008383,3.427362333538745,3.660121300597499,3.5263180900135045,3.5467872175613193,3.210675147753897,3.3692318831009813,3.1336228197838336,3.169963043182633,3.1672688945843976,3.228416325670554,3.15348449543716,3.1627797309125407,3.1707573145976227,3.1578266131727264,3.200809659464348,3.1850743764688807,3.187424452584629,3.7198307551539966
