Case,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
CAISO_NP15_2019_10,-123.1954036,-30.01195793,-180.4555246,-20.01546533,-37.2867359,-53.4947811,3.87,0,1,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.84815484614774,13.816283398550494,281.6485924942907,0.6741283533763154,0.005257709,0.11659967555692774
CAISO_NP15_2022_10,37.50478563,170.8063814,-21.70349788,171.4670664,172.3014611,-66.32382122,7.47,0,1,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.45004194502243,9.238668704164041,129.1292120117957,0.6535496436442156,0.004203258,0.41976264611541414
CAISO_ZP26_2019_10,-120.5008016,-28.43516988,-178.363576,-16.97140586,-34.43849541,-53.7457483,3.87,0,1,35.76289704,-36.4988,21.989275,30.680500000000002,41.652474999999995,1065.9115,38.854680144775536,14.037887277357704,289.04239893731693,0.6781970013001871,0.005209614,0.1262167986188205
CAISO_ZP26_2022_10,24.56132403,147.883212,-36.92804416,155.7611977,149.3513284,-64.08436179,7.47,0,1,84.2986175,-27.4744,45.008325,65.30625,86.917725,1976.5301,101.72950620207386,9.083343261163058,129.98669012262627,0.6279359590280418,0.003537333,0.7325853742871852
CAISO_SP15_2019_10,-122.772682,-30.77605116,-180.5722411,-19.13723331,-36.96933737,-53.56885216,3.87,0,1,35.31622978,-40.6231,21.907574999999998,30.81345,42.2941,980.3147,39.35168890699878,13.050125848249364,246.6358945718514,0.6862225680683918,0.005721276,0.057761912
CAISO_SP15_2022_10,11.41363622,132.7612775,-50.76743338,143.020493,133.8589378,-62.32292676,7.47,0,1,81.30118618,-35.0853,46.06545,65.96965,90.0033,1994.734,104.73332129636009,8.681443647594438,119.57217792484704,0.6230407674829862,0.004089906,0.47001498970469324
ERCOT_NORTH_2019_10,-121.254932,-37.58060975,-156.6088848,-22.32366074,-22.14391065,-36.83890485,2.39,0,1,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.89900911601511,31.997491276935058,1178.307986104096,0.8675463639227672,0.003474165,0.7612364350976983
ERCOT_NORTH_2022_10,-90.43464638,4.813135476,-152.2937665,9.12516119,-11.18599025,-61.49314323,7.05,0,1,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8955277090478,25.905698192303298,819.6266283702148,0.8170233926930849,0.004782089,0.21768049461531314
ERCOT_SOUTH_2019_10,-123.4373278,-37.60879009,-159.1585928,-25.57818976,-24.74622361,-39.4885697,2.39,0,1,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.74692072777401,32.53129571761402,1210.8460937974237,0.8726684597657356,0.001490977,1
ERCOT_SOUTH_2022_10,-96.22365409,-2.540204899,-156.9713719,3.318020425,-19.07430075,-59.46672684,7.05,0,1,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.07139699598348,25.236277613281306,817.1954926080365,0.7777044784119961,0.003803781,0.6050252958144049
ERCOT_WEST_2019_10,-120.391782,-41.007299,-155.0265797,-13.30729994,-19.20185686,-27.68248999,2.39,0,1,26.20113035,-24.6412,14.519225,18.79145,24.541349999999998,4697.196,107.59040617615692,31.66664281,1160.6460473616492,0.8626130508720405,0.005114604,0.1452150655019715
ERCOT_WEST_2022_10,-89.41281561,0.854227147,-152.6672243,26.55081387,-10.47568496,-40.20915222,7.05,0,1,50.38087806,-47.6123,22.81375,42.12905000000001,64.050475,5143.3014,132.18347943357335,25.502356731705095,807.5423241,0.803622685,0.03378391,0
ERCOT_HOUSTON_2019_10,-120.2623196,-34.12538779,-156.0934042,-22.68760974,-21.34156206,-40.53637421,2.39,0,1,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.06260461776567,31.596076216104894,1156.477019,0.8618644579291852,0.001605825,1
ERCOT_HOUSTON_2022_10,-60.9821364,38.60512212,-122.2300671,39.73904715,25.81273856,-64.29013461,7.05,0,1,61.97532545,-28.7943,30.784325000000003,46.5179,68.534975,4835.4304,146.3768601048923,20.395149102039138,525.1743385985717,0.7894402973093161,0.003361584,0.8101018052255515
ISO_NE_2019_10,-145.3675561,-70.77095628,-199.5450083,-59.83456298,-83.74208954,-50.99365458,4.5,0,1,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56284339125194,2.8059063600923366,13.044474717022368,0.55303216,0.001763626,1
ISO_NE_2022_10,-51.452119,63.64741911,-109.4698592,59.62327469,40.71611823,-66.82272872,10.76,0,1,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92805703574463,6.741013858851909,157.4969691113683,0.28935915801006856,0.002238656,0.9949995336255476
