H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
2.5644 573.222600000 OSBORNE et al. (1937) 118
2.56466 573.222600000 OSBORNE et al. (1937) 119
2.56396 573.222600000 OSBORNE et al. (1937) 120
2.17355 563.220900000 OSBORNE et al. (1937) 121
2.17362 563.220900000 OSBORNE et al. (1937) 122
2.17358 563.220900000 OSBORNE et al. (1937) 123
2.17384 563.220900000 OSBORNE et al. (1937) 124
2.17343 563.220900000 OSBORNE et al. (1937) 125
2.17362 563.220900000 OSBORNE et al. (1937) 126
2.17375 563.220900000 OSBORNE et al. (1937) 127
2.17379 563.220900000 OSBORNE et al. (1937) 128
1.55935 543.216600000 OSBORNE et al. (1937) 129
1.55927 543.216600000 OSBORNE et al. (1937) 130
1.55926 543.216600000 OSBORNE et al. (1937) 131
1.55976 543.216600000 OSBORNE et al. (1937) 132
1.55901 543.216600000 OSBORNE et al. (1937) 133
1.55942 543.216600000 OSBORNE et al. (1937) 134
1.5595 543.216600000 OSBORNE et al. (1937) 135
1.55879 543.216600000 OSBORNE et al. (1937) 136
1.55922 543.216600000 OSBORNE et al. (1937) 137
1.10873 523.211000000 OSBORNE et al. (1937) 138
1.10864 523.211000000 OSBORNE et al. (1937) 139
1.10852 523.211000000 OSBORNE et al. (1937) 140
1.10858 523.211000000 OSBORNE et al. (1937) 141
1.10889 523.211000000 OSBORNE et al. (1937) 142
1.1085 523.211000000 OSBORNE et al. (1937) 143
1.10882 523.211000000 OSBORNE et al. (1937) 144
1.10867 523.211000000 OSBORNE et al. (1937) 145
1.10897 523.211000000 OSBORNE et al. (1937) 146
1.10933 523.211000000 OSBORNE et al. (1937) 147
1.10898 523.211000000 OSBORNE et al. (1937) 148
1.10863 523.211000000 OSBORNE et al. (1937) 149
1.10799 523.211000000 OSBORNE et al. (1937) 150
1.10817 523.211000000 OSBORNE et al. (1937) 151
1.10805 523.211000000 OSBORNE et al. (1937) 152
1.10865 523.211000000 OSBORNE et al. (1937) 153
1.10865 523.211000000 OSBORNE et al. (1937) 154
1.10839 523.211000000 OSBORNE et al. (1937) 155
1.10873 523.211000000 OSBORNE et al. (1937) 156
1.1084 523.211000000 OSBORNE et al. (1937) 157
1.1088 523.211000000 OSBORNE et al. (1937) 158
1.10947 523.211000000 OSBORNE et al. (1937) 159
1.10853 523.211000000 OSBORNE et al. (1937) 160
1.10919 523.211000000 OSBORNE et al. (1937) 161
0.436354 473.192600000 OSBORNE et al. (1937) 162
0.436394 473.192600000 OSBORNE et al. (1937) 163
0.436357 473.192600000 OSBORNE et al. (1937) 164
0.436457 473.192600000 OSBORNE et al. (1937) 165
0.436455 473.192600000 OSBORNE et al. (1937) 166
0.43651 473.192600000 OSBORNE et al. (1937) 167
0.436399 473.192600000 OSBORNE et al. (1937) 168
0.436421 473.192600000 OSBORNE et al. (1937) 169
0.141376 423.170400000 OSBORNE et al. (1937) 170
0.141357 423.170400000 OSBORNE et al. (1937) 171
0.141349 423.170400000 OSBORNE et al. (1937) 172
