H2O CP.txt
Density mol/dm3  T / K   CP
1.377081   574.883683    64.188400
1.351752   581.834786    60.943850
1.334048   586.935451    59.208980
1.288510   601.036460    55.137529
1.251883   613.486519    52.572155
1.194441   635.234988    49.253743
1.168158   646.183388    48.122384
1.162489   648.632955    47.819727
1.152603   652.982124    47.443208
40.949646   568.432638    101.523241
1.978763   570.482957    97.449989
1.940720   576.033887    89.002630
1.917375   579.634491    84.325866
1.873166   586.885451    77.161194
1.767888   606.686651    65.092766
1.759246   608.486572    64.413591
1.684752   625.235918    58.681132
1.578002   653.582033    52.799147
39.226768   584.685170    120.907670
39.194100   584.935168    119.927639
39.141547   585.335265    118.495425
39.068751   585.885261    116.910082
39.042104   586.085359    116.609227
2.491035   588.385535    111.028097
2.490532   588.435534    110.952433
2.448704   592.735968    101.674570
2.371079   601.486445    88.701775
2.209662   623.386064    70.976553
2.063786   648.432982    60.943850
37.511718   598.486336    144.968862
37.331912   599.586405    140.218235
3.055138   602.286519    129.582021
2.983650   607.486616    114.571700
2.768709   626.485814    85.911210
2.582145   648.033038    70.976553
55.258807   283.144000    75.556034
55.450221   293.138000    75.359668
55.489368   303.134000    75.287606
55.398693   313.130000    75.305622
55.198946   323.127000    75.341652
54.909192   333.124000    75.395698
54.546651   343.124000    75.485774
54.127073   353.123000    75.611881
53.664280   363.123000    75.772217
53.170442   373.124000    75.970385
52.656015   383.126000    76.220797
52.129838   393.127000    76.491026
51.598766   403.130000    76.831515
51.068246   413.132000    77.226049
50.541790   423.134000    77.674630
50.021129   433.138000    78.195271
49.506534   443.141000    78.769958
48.996287   453.145000    79.434721
48.487096   463.149000    80.191362
47.973894   473.153000    81.054294
47.449885   483.157000    82.025317
46.906546   493.161000    83.158477
46.333685   503.164000    84.437561
45.719215   513.168000    85.931027
45.049555   523.171000    87.696523
44.309223   533.174000    89.786294
43.480978   543.178000    92.290416
42.546205   553.180000    95.334997
41.484149   563.182000    99.100188
40.272487   573.184000    103.785959
38.887317   583.185000    109.840891
37.302757   593.186000    118.003608
35.491509   603.186000    129.697319
33.423996   613.187000    148.130541
31.069947   623.186000    181.610115
29.775324   628.185000    211.520865
0.000525   283.144000    33.787635
0.000997   293.138000    33.913742
0.001765   303.134000    34.093895
0.002955   313.130000    34.328093
0.004721   323.127000    34.598322
0.007263   333.124000    34.922597
0.010836   343.124000    35.336948
0.015769   353.123000    35.877406
0.022494   363.123000    36.507941
0.031565   373.124000    37.192521
0.043690   383.126000    38.021223
0.059758   393.127000    39.046292
0.080866   403.130000    40.199269
0.108309   413.132000    41.496368
0.143584   423.134000    42.989834
0.188336   433.138000    44.665254
0.244240   443.141000    46.574872
0.312902   453.145000    48.608796
0.395639   463.149000    50.932766
0.493312   473.153000    53.272949
0.606154   483.157000    55.975239
0.733688   493.161000    59.018018
0.874791   503.164000    62.567026
1.028022   513.168000    66.672705
1.192035   523.171000    71.428736
1.366441   533.174000    76.995454
1.552751   543.178000    83.534996
1.755554   553.180000    91.353623
1.984340   563.182000    100.901715
2.255804   573.184000    112.685501
2.597915   583.185000    127.856159
3.057512   593.186000    148.251243
3.715038   603.186000    177.367520
4.716089   613.187000    223.764041
6.340258   623.186000    307.907953
7.547056   628.185000    383.042430
