11,"(8.579750844331024 + -0.0466020264229641*((6.125708428777817 + 2.6855673949010592*(0.49212956279441045 + -7.229004311192199*X[:,1-1]+(2.3769657029161646 + -1.414570216818065*(4.001993426457538 + 2.265094668051925*X[:,1-1]/(-1.1890731108161086*X[:,2-1]) + 4.111320635555154))))+(6.452750424902501 + 3.5938892847682498*((5.724191711533279 + 8.365298334746546*(2.7128864006353175 + 2.344401553236283*X[:,2-1]/(6.268180250057094*X[:,1-1]) + 1.7992236915644315))+(-0.6161162220365471*X[:,2-1]) + 5.703401570523653))))",0.0004492816052891318,0.9999981228529734
0,"(0.9742561897348342*X[:,1-1]) + 0.08768678159888527",0.0174412107681786
1,"(0.4098433502952414*X[:,2-1]) + 2.0768843421666485",0.2951491055769176
2,"(-122.29827140933939 + 0.07316167159612016*((26.51694849185364 + 0.007154971456971759*(-73.67903203064641 + -52.30374210615557*X[:,2-1]+(83.74052484823042*X[:,1-1]) + -72.77436732523894))*(-6.568994214323567 + 0.33392301561578125*(-7.499713627094021 + -2.980493107394523*X[:,1-1]+(-6.528752411549213 + 61.43616114227941*(1.7614719209750362 + 3.1942289099425945*X[:,2-1]+(-3.1474709949979722*X[:,2-1]) + 1.9854404773402365))))))",0.0004581249527111371
3,"(-4.990201973514956 + 29.99999999999868*((51.964903538304085 + -27.487142334890926*(111.88387338310359+(-48.84811913893674*X[:,1-1]) + 111.83291582004117))/(41.09208559535526 + -128.4894394649744*((121.43862739226553 + 115.78089055530131*(109.0258410346174 + 41.2936330741301*X[:,2-1]/(-118.29769146519645*X[:,1-1]) + 109.54807261886303))-(-118.7829015686231 + -124.98576057854828*(-50.2168666921976 + -128.81143515278518*X[:,1-1]*(-129.2273556148681*X[:,1-1]) + -50.35167255152126))))))",10.059768322651935
4,"(10.0 + 6.785465962349055e-26*((1.8113827440587644 + 1.339271743953025*(1.3136282902676568/(1.0825861992094523*X[:,1-1]) + 1.8147129672403026))/(1.202129414289864 + 1.0664322830922128*((1.3788391881526487 + 1.2365491818027485*(1.7118965463333238 + 1.7047675625648708*X[:,2-1]-(1.8764306078710473*X[:,1-1]) + 1.5451242465536452))/(1.2814848891014265 + 1.8150643905519717*(1.4770754285616978 + 1.6510100464998956*X[:,2-1]+(1.7912964949851846*X[:,1-1]) + 1.3154483011754425))))))",7.689626033435207
5,"(0.45145693869321546 + -0.001714553904630212*(1.2905950300999305 + -1.946581628543603*X[:,1-1]-(1.4645949071761466 + 3.6445724364487715*((-0.8987228985658656 + 3.664570399490328*(-0.7991002896718221+(5.140695313787253*X[:,2-1]) + -1.3695220743883116))*(0.1645277178753317 + 3.041268230541978*(0.4039393993695454 + 3.610386804698149*X[:,1-1]/(1.1768198781018135*X[:,2-1]) + -0.7265424906053214))))))",0.0035389120550098165
6,"(21.786306056784934 + -22.757023567245668*(-0.42113804139766353 + -1.9407371528628794*X[:,2-1]/(-30.20554530500439*X[:,1-1]) + 1.1602435581618078))",0.28871746705470286
7,"(-0.04638455775629005 + -4.9401745326044235*((2.687604823257187 + 2.6454078830757104*(2.4856577450420874+(2.587607256169616 + -3.547897069815528*(1.2239208474295347 + -0.15648726339429966*X[:,2-1]/(2.9061622700924397*X[:,1-1]) + 0.6054630065601299))))-(-0.2814549255279877 + 0.019798952277828522*((-1.658086753086426 + 0.3327978391349313*(-1.4738473658026 + 1.2161390861447976*X[:,2-1]*(1.8759806025467058*X[:,1-1]) + -0.7734835030134604))+(5.118286734017276*X[:,2-1]) + -2.3698976083489933))))",0.01923751527430875
8,"(cm.c[0] + cm.c[1]*(cm.c[2] + cm.c[3]*X[:,2-1]-cm.c[4]*exp((cm.c[5] + cm.c[6]*(cm.c[7]-(cm.c[8]*X[:,2-1]) + cm.c[9])))))",1183242.9620122595
9,"(1.4690700592880286 + -0.035380458623572544*((0.879820200118274 + -0.5114153728592067*(0.8872904618716888 + -1.388332368216717*X[:,2-1]*(-1.3364100022400556*X[:,1-1]) + 0.6258886403435986))-(1.789098857579809 + 0.22933586263267677*((1.8549139102900472 + 3.8960665588715666*(2.9284217776649086 + 1.1951978712455402*X[:,1-1]*(3.1407389179305394*X[:,1-1]) + 2.3372384859078643))+(2.5655749889280894 + 2.2433048946339373*(2.1122596670574403 + -0.8976697333848715*X[:,2-1]+(-2.1247278013358257*X[:,2-1]) + 2.5282684038393866))))))",0.010854005302943427
10,"(3.907137101789437 + 0.351343051669286*(-2.759420630330467 + 2.862433378757041*X[:,1-1]-(5.897727012180006 + 1.584235935830427*(-1.746660321049509 + -1.3922830018407633*X[:,1-1]/(-4.234945788324606*X[:,2-1]) + 3.010221408107028))))",0.004177950149605191
11,"(8.579750844331024 + -0.0466020264229641*((6.125708428777817 + 2.6855673949010592*(0.49212956279441045 + -7.229004311192199*X[:,1-1]+(2.3769657029161646 + -1.414570216818065*(4.001993426457538 + 2.265094668051925*X[:,1-1]/(-1.1890731108161086*X[:,2-1]) + 4.111320635555154))))+(6.452750424902501 + 3.5938892847682498*((5.724191711533279 + 8.365298334746546*(2.7128864006353175 + 2.344401553236283*X[:,2-1]/(6.268180250057094*X[:,1-1]) + 1.7992236915644315))+(-0.6161162220365471*X[:,2-1]) + 5.703401570523653))))",0.0004492816052891318
