,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
1562,250,39.7,5,0.309,0.877,9.925,7.82,51.46,1.00144,5.291,-715.0
1563,260,46.9,5,0.279,0.851,10.939,8.684,61.71,0.99186,5.355,-680.5
1564,270,55.0,5,0.25,0.824,12.133,9.715,75.75,0.98211,5.418,-645.8
1565,280,64.1,5,0.222,0.795,13.572,10.976,95.61,0.97219,5.48,-610.8
1566,290,74.4,5,0.196,0.765,15.358,12.566,124.78,0.96213,5.542,-575.6
1567,300,85.8,5,0.17,0.734,17.652,14.64,169.43,0.95198,5.602,-539.9
1568,0,200.0,5,0.823,1.172,-1.377,-2.112,20.44,1.18512,3.11,-1540.4
1569,10,200.0,5,0.861,1.186,-0.74,-1.412,15.56,1.1805,3.229,-1507.3
1570,20,200.0,5,0.886,1.195,-0.247,-0.88,13.05,1.17566,3.345,-1474.0
1571,25,200.0,5,0.894,1.198,-0.034,-0.653,12.24,1.17315,3.401,-1457.3
1572,30,200.0,5,0.9,1.2,0.165,-0.446,11.62,1.17059,3.457,-1440.6
1573,40,200.0,5,0.905,1.201,0.527,-0.075,10.78,1.16531,3.565,-1407.2
1574,50,200.0,5,0.903,1.2,0.857,0.253,10.29,1.15982,3.67,-1373.8
1575,60,200.0,5,0.894,1.196,1.167,0.55,10.06,1.15412,3.772,-1340.4
1576,70,200.0,5,0.88,1.19,1.464,0.827,10.01,1.1483,3.871,-1307.1
1577,80,200.0,5,0.861,1.183,1.753,1.088,10.13,1.14228,3.966,-1273.8
1578,90,200.0,5,0.839,1.174,2.039,1.34,10.39,1.13609,4.059,-1240.5
1579,100,200.0,5,0.814,1.164,2.326,1.588,10.78,1.12972,4.15,-1207.2
1580,110,200.0,5,0.787,1.152,2.618,1.834,11.31,1.12317,4.238,-1173.9
1581,120,200.0,5,0.758,1.14,2.918,2.083,11.96,1.11644,4.323,-1140.7
1582,130,200.0,5,0.727,1.126,3.228,2.338,12.75,1.10953,4.407,-1107.4
1583,140,200.0,5,0.695,1.112,3.551,2.601,13.68,1.10243,4.488,-1074.2
1584,150,200.0,5,0.663,1.096,3.891,2.875,14.76,1.09516,4.568,-1041.0
1585,160,200.0,5,0.629,1.08,4.25,3.163,16.0,1.0877,4.645,-1007.7
1586,170,200.0,5,0.596,1.063,4.631,3.469,17.42,1.08005,4.721,-974.5
1587,180,200.0,5,0.562,1.045,5.037,3.794,19.05,1.07221,4.796,-941.2
1588,190,200.0,5,0.528,1.026,5.473,4.143,20.92,1.06417,4.868,-907.9
1589,200,200.0,5,0.494,1.007,5.942,4.52,23.07,1.05593,4.939,-874.6
1590,210,200.0,5,0.461,0.986,6.45,4.929,25.56,1.04749,5.009,-841.3
1591,220,200.0,5,0.428,0.964,7.003,5.376,28.49,1.03883,5.078,-807.9
1592,230,200.0,5,0.395,0.941,7.608,5.869,31.99,1.02994,5.145,-774.4
1593,240,200.0,5,0.363,0.917,8.278,6.418,36.23,1.02083,5.211,-740.8
1594,250,200.0,5,0.332,0.892,9.026,7.037,41.5,1.01147,5.276,-707.1
1595,260,200.0,5,0.302,0.866,9.873,7.743,48.23,1.00185,5.34,-673.3
1596,270,200.0,5,0.272,0.839,10.847,8.566,57.1,0.99196,5.403,-639.4
1597,280,200.0,5,0.243,0.81,11.993,9.548,69.27,0.98119,5.465,-605.2
1598,290,200.0,5,0.216,0.78,13.38,10.753,86.73,0.97134,5.527,-570.7
1599,300,200.0,5,0.189,0.748,15.121,12.292,113.14,0.9606,5.589,-535.8
1600,0,400.0,5,0.85,1.182,-1.142,-1.83,17.22,1.19173,3.104,-1525.4
1601,10,400.0,5,0.884,1.194,-0.595,-1.229,13.59,1.18707,3.223,-1492.3
1602,20,400.0,5,0.907,1.202,-0.159,-0.759,11.69,1.18221,3.338,-1459.1
1603,25,400.0,5,0.914,1.204,0.033,-0.556,11.07,1.17969,3.394,-1442.5
1604,30,400.0,5,0.919,1.206,0.213,-0.368,10.59,1.17713,3.449,-1425.8
1605,40,400.0,5,0.923,1.207,0.545,-0.03,9.93,1.17186,3.557,-1392.6
1606,50,400.0,5,0.92,1.206,0.85,0.272,9.54,1.1664,3.662,-1359.3
1607,60,400.0,5,0.91,1.202,1.138,0.547,9.35,1.16076,3.763,-1326.0
1608,70,400.0,5,0.896,1.196,1.418,0.807,9.27,1.15504,3.862,-1292.8
1609,80,400.0,5,0.877,1.188,1.686,1.048,9.38,1.14914,3.957,-1259.5
1610,90,400.0,5,0.855,1.179,1.951,1.28,9.61,1.14307,4.05,-1226.4
1611,100,400.0,5,0.831,1.169,2.216,1.507,9.96,1.13685,4.14,-1193.2
1612,110,400.0,5,0.804,1.158,2.485,1.734,10.43,1.13047,4.227,-1160.1
1613,120,400.0,5,0.776,1.146,2.761,1.962,11.02,1.12392,4.313,-1127.0
1614,130,400.0,5,0.747,1.133,3.047,2.195,11.72,1.11722,4.396,-1093.9
1615,140,400.0,5,0.716,1.12,3.344,2.436,12.56,1.11035,4.477,-1060.9
1616,150,400.0,5,0.684,1.105,3.655,2.686,13.52,1.10331,4.556,-1027.8
1617,160,400.0,5,0.652,1.09,3.983,2.948,14.62,1.09611,4.633,-994.8
1618,170,400.0,5,0.62,1.074,4.331,3.225,15.86,1.08874,4.708,-961.8
1619,180,400.0,5,0.587,1.057,4.7,3.52,17.28,1.0812,4.782,-928.7
1620,190,400.0,5,0.554,1.039,5.094,3.834,18.87,1.07348,4.854,-895.7
1621,200,400.0,5,0.521,1.021,5.516,4.17,20.67,1.06558,4.925,-862.6
1622,210,400.0,5,0.488,1.001,5.969,4.532,22.71,1.05749,4.994,-829.6
1623,220,400.0,5,0.455,0.981,6.458,4.924,25.04,1.04922,5.062,-796.5
1624,230,400.0,5,0.423,0.959,6.987,5.35,27.71,1.04075,5.128,-763.3
1625,240,400.0,5,0.392,0.936,7.562,5.815,30.81,1.03207,5.194,-730.1
1626,250,400.0,5,0.361,0.912,8.19,6.326,34.44,1.02317,5.258,-696.8
1627,260,400.0,5,0.33,0.887,8.882,6.893,38.79,1.01405,5.321,-663.5
1628,270,400.0,5,0.301,0.86,9.65,7.527,44.08,1.00468,5.383,-630.0
1629,280,400.0,5,0.272,0.832,10.512,8.246,50.68,0.99505,5.445,-596.3
1630,290,400.0,5,0.244,0.802,11.492,9.071,59.14,0.98513,5.505,-562.4
1631,300,400.0,5,0.218,0.77,12.627,10.037,70.34,0.9749,5.566,-528.2
1632,0,600.0,5,0.875,1.19,-0.943,-1.59,14.58,1.19811,3.097,-1510.4
1633,10,600.0,5,0.906,1.201,-0.411,-1.07,11.96,1.19342,3.216,-1477.4
1634,20,600.0,5,0.926,1.208,-0.082,-0.652,10.55,1.18854,3.331,-1444.3
1635,25,600.0,5,0.932,1.21,0.092,-0.468,10.07,1.18602,3.387,-1427.7
1636,30,600.0,5,0.937,1.212,0.256,-0.298,9.7,1.18346,3.442,-1411.2
1637,40,600.0,5,0.94,1.212,0.562,0.012,9.18,1.1782,3.55,-1378.0
1638,50,600.0,5,0.936,1.211,0.845,0.291,8.86,1.17278,3.654,-1344.8
1639,60,600.0,5,0.926,1.207,1.112,0.545,8.7,1.16718,3.755,-1311.6
1640,70,600.0,5,0.911,1.201,1.375,0.787,8.61,1.16154,3.853,-1278.4
1641,80,600.0,5,0.893,1.193,1.623,1.01,8.7,1.15572,3.948,-1245.3
1642,90,600.0,5,0.871,1.184,1.869,1.224,8.91,1.14976,4.041,-1212.3
1643,100,600.0,5,0.847,1.175,2.115,1.434,9.22,1.14366,4.13,-1179.3
1644,110,600.0,5,0.821,1.164,2.364,1.642,9.64,1.13742,4.218,-1146.3
1645,120,600.0,5,0.794,1.152,2.619,1.853,10.17,1.13103,4.302,-1113.3
1646,130,600.0,5,0.765,1.14,2.882,2.067,10.81,1.1245,4.38,-1080.4
1647,140,600.0,5,0.736,1.127,3.156,2.287,11.57,1.11782,4.466,-1041.5
1648,150,600.0,5,0.705,1.114,3.443,2.517,12.44,1.111,4.544,-1014.6
1649,160,600.0,5,0.674,1.099,3.745,2.757,13.43,1.10402,4.621,-981.7
1650,170,600.0,5,0.642,1.084,4.064,3.01,14.55,1.0969,4.696,-948.9
1651,180,600.0,5,0.611,1.068,4.402,3.278,15.82,1.08962,4.769,-916.1
1652,190,600.0,5,0.579,1.052,4.762,3.564,17.23,1.08218,4.841,-883.2
1653,200,600.0,5,0.546,1.034,5.174,3.87,18.82,1.07458,4.911,-850.4
1654,210,600.0,5,0.514,1.016,5.559,4.197,20.6,1.06682,4.98,-811.6
1655,220,600.0,5,0.482,0.997,6.001,4.55,22.61,1.05888,5.047,-784.7
1656,230,600.0,5,0.451,0.976,6.477,4.931,24.87,1.05078,5.113,-751.9
1657,240,600.0,5,0.419,0.955,6.991,5.344,27.45,1.04249,5.178,-719.0
1658,250,600.0,5,0.388,0.932,7.549,5.794,30.42,1.03401,5.241,-686.1
1659,260,600.0,5,0.358,0.907,8.157,6.287,33.86,1.02534,5.304,-653.1
1660,270,600.0,5,0.328,0.881,8.823,6.832,37.94,1.01645,5.365,-620.0
1661,280,600.0,5,0.299,0.854,9.558,7.437,42.85,1.00733,5.426,-586.8
1662,290,600.0,5,0.271,0.824,10.378,8.117,48.89,0.99796,5.486,-553.5
1663,300,600.0,5,0.243,0.792,11.302,8.893,56.53,0.98831,5.545,-519.8
1664,0,800.0,5,0.898,1.197,-0.778,-1.387,12.47,1.20427,3.091,-1495.5
1665,10,800.0,5,0.926,1.206,-0.366,-0.933,10.64,1.19956,3.209,-1462.6
1666,20,800.0,5,0.944,1.213,-0.016,-0.558,9.6,1.19465,3.324,-1429.6
1667,25,800.0,5,0.95,1.215,0.143,-0.39,9.24,1.19213,3.38,-1413.1
1668,30,800.0,5,0.953,1.216,0.294,-0.234,8.95,1.18957,3.435,-1396.5
1669,40,800.0,5,0.955,1.217,0.577,0.052,8.52,1.18433,3.542,-1363.4
1670,50,800.0,5,0.951,1.215,0.841,0.31,8.26,1.17894,3.646,-1330.3
1671,60,800.0,5,0.941,1.211,1.09,0.546,8.11,1.1734,3.747,-1297.3
1672,70,800.0,5,0.926,1.205,1.334,0.77,8.04,1.16778,3.845,-1264.2
1673,80,800.0,5,0.907,1.198,1.566,0.976,8.12,1.16202,3.94,-1231.2
1674,90,800.0,5,0.886,1.189,1.795,1.115,8.3,1.15614,4.032,-1198.2
1675,100,800.0,5,0.863,1.18,2.024,1.37,8.59,1.15014,4.121,-1165.3
1676,110,800.0,5,0.837,1.169,2.256,1.563,8.97,1.14401,4.208,-1132.4
1677,110,800.0,5,0.837,1.169,2.256,2.825,8.97,1.14401,4.208,-1132.4
1678,120,800.0,5,0.811,1.158,2.493,1.757,9.45,1.13775,4.293,-1099.6
1679,130,800.0,5,0.783,1.146,2.738,1.955,10.03,1.13137,4.375,-1066.8
1680,140,800.0,5,0.754,1.134,2.992,2.159,10.72,1.12485,4.455,-1034.0
1681,150,800.0,5,0.724,1.121,3.257,2.37,11.51,1.11821,4.533,-1001.3
1682,160,800.0,5,0.694,1.108,3.536,2.591,12.42,1.11143,4.61,-968.6
1683,180,800.0,5,0.633,1.079,4.144,3.072,14.6,1.09746,4.757,-903.3
1684,190,800.0,5,0.602,1.063,4.476,3.334,15.89,1.09027,4.829,-870.6
1685,200,800.0,5,0.57,1.047,4.831,3.615,17.34,1.08293,4.898,-838.0
1686,210,800.0,5,0.539,1.03,5.21,3.915,18.96,1.07545,4.966,-805.4
1687,220,800.0,5,0.508,1.011,5.617,4.238,20.78,1.06781,5.033,-772.8
1688,230,800.0,5,0.476,0.992,6.054,4.587,22.83,1.06003,5.099,-740.2
1689,240,800.0,5,0.445,0.972,6.526,4.964,25.16,1.05208,5.163,-707.6
1690,250,800.0,5,0.415,0.95,7.036,5.375,27.84,1.04397,5.226,-674.9
1691,260,800.0,5,0.384,0.927,7.592,5.825,30.97,1.0357,5.288,-642.3
1692,270,800.0,5,0.354,0.902,8.201,6.321,34.68,1.02724,5.348,-609.6
1693,280,800.0,5,0.325,0.875,8.873,6.873,39.19,1.01859,5.408,-576.8
1694,290,800.0,5,0.296,0.846,9.624,7.495,44.82,1.00973,5.467,-543.9
1695,300,800.0,5,0.267,0.814,10.473,8.201,52.09,1.00063,5.526,-510.8
1696,0,1000.0,5,0.918,1.201,-0.645,-1.219,10.89,1.2102,3.085,-1480.6
1697,10,1000.0,5,0.944,1.211,-0.279,-0.816,9.62,1.20547,3.202,-1447.9
1698,20,1000.0,5,0.961,1.217,0.041,-0.474,8.84,1.20055,3.317,-1414.9
1699,25,1000.0,5,0.966,1.219,0.188,-0.32,8.56,1.19803,3.373,-1398.5
1700,30,1000.0,5,0.969,1.221,0.328,-0.176,8.32,1.19547,3.427,-1382.0
1701,40,1000.0,5,0.97,1.221,0.592,0.089,7.96,1.19024,3.535,-1348.9
1702,50,1000.0,5,0.965,1.219,0.838,0.329,7.71,1.18488,3.638,-1315.9
1703,60,1000.0,5,0.955,1.215,1.071,0.548,7.56,1.1794,3.739,-1283.0
1704,70,1000.0,5,0.94,1.209,1.299,0.756,7.56,1.17376,3.836,-1249.9
1705,80,1000.0,5,0.921,1.202,1.517,0.949,7.64,1.16804,3.931,-1217.0
1706,90,1000.0,5,0.9,1.193,1.732,1.135,7.81,1.16221,4.023,-1184.2
1707,100,1000.0,5,0.877,1.184,1.948,1.317,8.06,1.15628,4.112,-1151.3
1708,110,1000.0,5,0.852,1.174,2.165,1.498,8.41,1.15023,4.199,-1118.6
1709,120,1000.0,5,0.826,1.163,2.388,1.679,8.85,1.14408,4.283,-1085.8
1710,130,1000.0,5,0.799,1.152,2.617,1.864,9.39,1.13781,4.365,-1053.2
1711,140,1000.0,5,0.771,1.14,2.854,2.053,10.02,1.13143,4.4015,-1020.5
1712,150,1000.0,5,0.742,1.127,3.102,2.25,10.76,1.12493,4.523,-987.9
1713,160,1000.0,5,0.712,1.115,3.363,2.456,11.59,1.11832,4.599,-955.0
1714,170,1000.0,5,0.683,1.101,3.638,2.673,12.54,1.11158,4.673,-922.8
1715,180,1000.0,5,0.653,1.087,3.93,2.902,13.61,1.10472,4.746,-890.4
1716,190,1000.0,5,0.622,1.072,4.24,3.146,14.81,1.09773,4.817,-851.9
1717,200,1000.0,5,0.592,1.057,4.57,3.406,16.15,1.09061,4.886,-825.5
1718,210,1000.0,5,0.561,1.041,4.923,3.685,17.65,1.08337,4.954,-793.0
1719,220,1000.0,5,0.53,1.024,5.302,3.985,19.35,1.07599,5.02,-760.6
1720,230,1000.0,5,0.5,1.006,5.709,4.309,21.27,1.06847,5.085,-728.3
1721,240,1000.0,5,0.469,0.986,6.148,4.661,23.46,1.06082,5.149,-695.9
1722,250,1000.0,5,0.438,0.966,6.625,5.044,26.01,1.05303,5.211,-663.5
1723,260,1000.0,5,0.408,0.944,7.145,5.464,29.01,1.04509,5.273,-631.1
1724,270,1000.0,5,0.378,0.92,7.717,5.93,32.64,1.037,5.333,-598.7
1725,280,1000.0,5,0.348,0.894,8.351,6.452,37.13,1.02875,5.392,-566.3
1726,290,1000.0,5,0.318,0.866,9.066,7.046,42.88,1.02033,5.45,-533.7
1727,300,1000.0,5,0.289,0.835,9.884,7.734,50.52,1.01173,5.508,-501.0
1728,0,1.0,6,0.908,1.258,-1.876,-2.586,25.39,1.20697,3.036,-1491.6
1729,10,1.0,6,0.951,1.266,-1.09,-1.723,19.08,1.20203,3.152,-1459.2
1730,20,1.0,6,0.979,1.271,-0.49,-1.074,15.81,1.19688,3.265,-1426.6
1731,25,1.0,6,0.987,1.272,-0.231,-0.8,14.76,1.19423,3.321,-1410.3
1732,30,1.0,6,0.993,1.272,0.007,-0.551,13.95,1.19152,3.375,-1393.9
1733,40,1.0,6,0.996,1.27,0.44,-0.107,12.83,1.18597,3.481,-1361.2
1734,50,1.0,6,0.989,1.264,0.832,0.282,12.17,1.18023,3.584,-1328.5
1735,60,1.0,6,0.975,1.257,1.197,0.633,11.83,1.17432,3.663,-1295.8
1736,60,1.0,6,0.975,1.257,1.197,0.633,11.83,1.17432,3.873,-1295.8
1737,70,1.0,6,0.955,1.248,1.534,0.948,11.8,1.16836,3.76,-1263.3
1738,90,1.0,6,0.901,1.224,2.211,1.553,12.21,1.15588,3.964,-1198.2
1739,100,1.0,6,0.868,1.211,2.548,1.845,12.66,1.14936,4.052,-1165.7
1740,110,1.4,6,0.833,1.196,2.89,2.134,13.26,1.14267,4.138,-1133.2
1741,120,2.0,6,0.796,1.18,3.241,2.426,14.02,1.1358,4.222,-1100.7
1742,130,2.7,6,0.758,1.163,3.604,2.724,14.94,1.12874,4.303,-1068.2
1743,140,3.6,6,0.719,1.145,3.982,3.032,16.03,1.12151,4.383,-1035.7
1744,150,4.8,6,0.679,1.126,4.378,3.353,17.31,1.11411,4.46,-1003.2
1745,160,6.2,6,0.639,1.106,4.797,3.69,18.79,1.10654,4.536,-970.7
1746,170,7.9,6,0.6,1.086,5.242,4.047,20.51,1.09882,4.61,-938.1
1747,180,10.0,6,0.56,1.065,5.717,4.428,22.5,1.09095,4.682,-905.5
1748,190,12.5,6,0.521,1.043,6.227,4.838,24.82,1.08296,4.753,-872.9
1749,200,15.5,6,0.483,1.02,6.778,5.282,27.56,1.07485,4.822,-840.2
1750,210,19.1,6,0.446,0.996,7.377,5.767,30.82,1.06665,4.89,-807.5
1751,220,23.2,6,0.409,0.972,8.033,6.302,34.75,1.05837,4.956,-774.7
1752,230,28.0,6,0.374,0.947,8.757,6.897,39.59,1.05003,5.021,-741.8
1753,240,33.4,6,0.34,0.921,9.567,7.568,45.69,1.04165,5.085,-708.9
1754,250,39.7,6,0.307,0.894,10.483,8.336,53.54,1.03327,5.148,-675.8
1755,260,46.9,6,0.276,0.867,11.538,9.231,63.97,1.0249,5.209,-642.7
1756,270,55.0,6,0.246,0.838,12.774,10.294,78.24,1.01656,5.27,-609.4
1757,280,64.1,6,0.218,0.809,14.261,11.592,98.44,1.00828,5.329,-575.9
1758,290,74.4,6,0.19,0.779,16.099,13.223,128.15,1.00005,5.388,-542.2
1759,300,85.8,6,0.164,0.747,18.455,15.348,173.72,0.99187,5.446,-508.0
1760,0,200.0,6,0.942,1.268,-1.581,-2.237,21.24,1.21369,3.029,-1477.0
1761,10,200.0,6,0.981,1.275,-0.911,-1.5,16.57,1.20867,3.145,-1444.7
1762,20,200.0,6,1.005,1.278,-0.382,-0.929,14.11,1.20346,3.258,-1412.2
1763,25,200.0,6,1.013,1.279,-0.151,-0.684,13.3,1.20079,3.313,-1395.9
1764,30,200.0,6,1.017,1.279,0.065,-0.459,12.68,1.19808,3.367,-1379.6
1765,40,200.0,6,1.019,1.276,0.461,-0.054,11.81,1.19253,3.473,-1346.9
1766,50,200.0,6,1.011,1.271,0.823,0.304,11.29,1.18682,3.576,-1314.4
1767,60,200.0,6,0.997,1.263,1.163,0.629,11.02,1.18095,3.675,-1281.8
1768,70,200.0,6,0.976,1.254,1.488,0.931,10.94,1.17507,3.771,-1249.3
1769,80,200.0,6,0.95,1.243,1.803,1.215,11.03,1.16903,3.864,-1216.8
1770,90,200.0,6,0.921,1.231,2.114,1.489,11.28,1.16282,3.955,-1184.4
1771,100,200.0,6,0.889,1.217,2.426,1.756,11.68,1.15644,4.043,-1152.1
1772,110,200.0,6,0.854,1.202,2.742,2.022,12.21,1.14988,4.128,-1119.7
1773,120,200.0,6,0.818,1.187,3.065,2.29,12.89,1.14315,4.211,-1087.4
1774,130,200.0,6,0.781,1.17,3.399,2.563,13.71,1.13624,4.292,-1055.2
1775,140,200.0,6,0.742,1.153,3.746,2.844,14.69,1.12915,4.371,-1022.9
1776,150,200.0,6,0.704,1.135,4.111,3.137,15.82,1.12188,4.449,-990.6
1777,160,200.0,6,0.665,1.117,4.495,3.445,17.13,1.11444,4.524,-958.4
1778,170,200.0,6,0.626,1.097,4.903,3.77,18.63,1.10682,4.598,-926.2
1779,180,200.0,6,0.587,1.077,5.337,4.116,20.34,1.09904,4.67,-893.9
1780,190,200.0,6,0.548,1.056,5.802,4.487,22.3,1.09111,4.74,-861.6
1781,200,200.0,6,0.51,1.034,6.302,4.887,24.56,1.08302,4.809,-829.3
1782,210,200.0,6,0.473,1.011,6.842,5.321,27.17,1.0748,4.877,-797.0
1783,220,200.0,6,0.436,0.987,7.429,5.794,30.22,1.06646,4.943,-764.6
1784,230,200.0,6,0.4,0.963,8.071,6.314,33.85,1.058,5.008,-732.2
1785,240,200.0,6,0.366,0.937,8.778,6.892,38.22,1.04946,5.072,-699.7
1786,250,200.0,6,0.332,0.91,9.566,7.541,43.63,1.04084,5.135,-667.2
1787,260,200.0,6,0.3,0.883,10.454,8.279,50.51,1.03217,5.197,-634.5
1788,270,200.0,6,0.269,0.854,11.472,9.136,59.54,1.02347,5.257,-601.8
1789,280,200.0,6,0.239,0.824,12.665,10.153,71.89,1.01477,5.317,-568.9
1790,290,200.0,6,0.21,0.793,14.101,11.369,89.57,1.00609,5.377,-535.8
1791,300,200.0,6,0.183,0.761,15.895,12.976,116.33,0.99743,5.436,-502.3
1792,0,400.0,6,0.973,1.276,-1.331,-1.937,17.79,1.22023,3.022,-1462.4
1793,10,400.0,6,1.007,1.281,-0.758,-1.306,14.46,1.21512,3.138,-1430.2
1794,20,400.0,6,1.029,1.285,-0.29,-0.802,12.66,1.20986,3.251,-1397.7
1795,25,400.0,6,1.036,1.285,-0.081,-0.581,12.06,1.20718,3.306,-1381.5
1796,30,400.0,6,1.039,1.285,0.115,-0.377,11.58,1.20446,3.36,-1365.2
1797,40,400.0,6,1.04,1.282,0.48,-0.006,10.91,1.19892,3.465,-1332.7
1798,50,400.0,6,1.032,1.277,0.815,0.324,10.5,1.19324,3.567,-1300.2
1799,60,400.0,6,1.016,1.269,1.132,0.626,10.28,1.18742,3.666,-1267.7
1800,70,400.0,6,0.995,1.26,1.441,0.912,10.15,1.1816,3.762,-1235.3
1801,80,400.0,6,0.97,1.249,1.733,1.174,10.22,1.17565,3.855,-1202.9
1802,90,400.0,6,0.941,1.236,2.021,1.426,10.43,1.16956,3.946,-1170.6
1803,100,400.0,6,0.909,1.223,2.309,1.672,10.78,1.16331,4.033,-1138.4
1804,110,400.0,6,0.875,1.209,2.6,1.915,11.25,1.1569,4.118,-1106.2
1805,120,400.0,6,0.84,1.194,2.897,2.16,11.86,1.15033,4.201,-1074.0
1806,130,400.0,6,0.803,1.178,3.204,2.409,12.59,1.14359,4.282,-1041.9
1807,140,400.0,6,0.766,1.162,3.523,2.666,13.47,1.13668,4.36,-1009.8
1808,150,400.0,6,0.728,1.145,3.857,2.933,14.48,1.12961,4.437,-977.7
1809,160,400.0,6,0.69,1.127,4.209,3.213,15.65,1.12237,4.512,-945.7
1810,170,400.0,6,0.652,1.109,4.581,3.508,16.98,1.11496,4.585,-913.6
1811,180,400.0,6,0.614,1.09,4.976,3.822,18.49,1.10738,4.657,-881.5
1812,190,400.0,6,0.577,1.07,5.398,4.157,20.19,1.09965,4.727,-849.5
1813,200,400.0,6,0.539,1.05,5.849,4.516,22.11,1.09177,4.795,-817.4
1814,210,400.0,6,0.503,1.028,6.334,4.902,24.29,1.08374,4.863,-785.2
1815,220,400.0,6,0.467,1.006,6.856,5.32,26.77,1.07557,4.928,-753.1
1816,230,400.0,6,0.431,0.982,7.421,5.773,29.6,1.06728,4.993,-720.9
1817,240,400.0,6,0.396,0.958,8.035,6.269,32.87,1.05889,5.057,-688.6
1818,250,400.0,6,0.363,0.932,8.705,6.813,36.7,1.05039,5.119,-656.3
1819,260,400.0,6,0.33,0.905,9.442,7.415,41.25,1.04183,5.18,-623.8
1820,270,400.0,6,0.299,0.877,10.258,8.087,46.71,1.03321,5.241,-591.2
1821,280,400.0,6,0.268,0.848,11.171,8.845,53.6,1.02456,5.301,-558.5
1822,290,400.0,6,0.24,0.816,12.205,9.714,62.31,1.01593,5.36,-525.5
1823,300,400.0,6,0.212,0.784,13.398,10.727,73.77,1.00735,5.419,-492.2
1824,0,600.0,6,1.0,1.281,-1.125,-1.687,15.02,1.22654,3.016,-1447.9
1825,10,600.0,6,1.031,1.287,-0.63,-1.141,12.75,1.22134,3.131,-1415.7
1826,20,600.0,6,1.051,1.29,-0.211,-0.691,11.47,1.21603,3.243,-1383.4
1827,25,600.0,6,1.057,1.29,-0.021,-0.491,11.02,1.21334,3.298,-1367.1
1828,30,600.0,6,1.06,1.29,0.159,-0.304,10.66,1.21062,3.352,-1350.9
1829,40,600.0,6,1.059,1.287,0.496,0.037,10.13,1.20508,3.458,-1318.5
1830,50,600.0,6,1.05,1.282,0.809,0.344,9.8,1.19944,3.559,-1286.1
1831,60,600.0,6,1.035,1.274,1.104,0.625,9.62,1.19368,3.658,-1253.7
1832,70,600.0,6,1.014,1.265,1.396,0.893,9.44,1.1879,3.754,-1221.2
1833,80,600.0,6,0.988,1.254,1.667,1.135,9.49,1.18203,3.847,-1189.0
1834,90,600.0,6,0.959,1.242,1.935,1.368,9.67,1.17603,3.937,-1156.8
1835,100,600.0,6,0.928,1.229,2.201,1.594,9.97,1.16991,4.024,-1124.0
1836,110,600.0,6,0.895,1.215,2.47,1.818,10.39,1.16364,4.109,-1092.6
1837,120,600.0,6,0.86,1.201,2.744,2.042,10.93,1.15723,4.191,-1060.6
1838,130,600.0,6,0.825,1.186,3.027,2.271,11.6,1.15067,4.272,-1028.6
1839,140,600.0,6,0.789,1.17,3.32,2.506,12.39,1.14395,4.35,-996.6
1840,150,600.0,6,0.752,1.154,3.627,2.75,13.31,1.13708,4.426,-964.7
1841,160,600.0,6,0.715,1.137,3.95,3.005,14.37,1.13004,4.501,-932.8
1842,170,600.0,6,0.678,1.12,4.291,3.275,15.57,1.12285,4.573,-901.0
1843,180,600.0,6,0.642,1.102,4.654,3.561,16.93,1.1155,4.645,-869.1
1844,190,600.0,6,0.605,1.084,5.04,3.866,18.46,1.108,4.714,-837.2
1845,200,600.0,6,0.568,1.065,5.452,4.192,20.19,1.10034,4.782,-805.3
1846,210,600.0,6,0.532,1.045,5.894,4.543,22.12,1.09254,4.849,-773.4
1847,220,600.0,6,0.497,1.024,6.369,4.921,24.29,1.08459,4.914,-741.4
1848,230,600.0,6,0.462,1.002,6.881,5.33,26.75,1.07651,4.979,-709.4
1849,240,600.0,6,0.427,0.979,7.434,5.774,29.55,1.06831,5.042,-677.4
1850,250,600.0,6,0.393,0.955,8.034,6.259,32.76,1.05999,5.104,-645.2
1851,260,600.0,6,0.36,0.929,8.689,6.79,36.49,1.05157,5.165,-613.0
1852,270,600.0,6,0.328,0.902,9.407,7.376,40.9,1.04308,5.225,-580.6
1853,280,600.0,6,0.297,0.873,10.199,8.028,46.19,1.03453,5.284,-548.1
1854,290,600.0,6,0.267,0.842,11.083,8.762,52.69,1.02595,5.343,-515.2
1855,300,600.0,6,0.239,0.809,12.079,9.597,60.89,1.01739,5.402,-482.0
1856,0,800.0,6,1.024,1.284,-0.96,-1.482,12.91,1.2375,3.009,-1433.5
1857,10,800.0,6,1.053,1.29,-0.525,-1.002,11.42,1.22731,3.124,-1401.4
1858,20,800.0,6,1.071,1.294,-0.145,-0.595,10.51,1.22154,3.236,-1369.1
1859,25,800.0,6,1.076,1.294,0.029,-0.412,10.18,1.21926,3.291,-1352.9
1860,30,800.0,6,1.079,1.294,0.196,-0.239,9.9,1.21653,3.345,-1336.7
1861,40,800.0,6,1.077,1.291,0.51,0.071,9.47,1.21105,3.45,-1304.3
1862,50,800.0,6,1.068,1.286,0.803,0.363,9.18,1.20543,3.552,-1272.0
1863,60,800.0,6,1.052,1.279,1.08,0.625,9.01,1.19972,3.65,-1239.7
1864,70,800.0,6,1.031,1.27,1.354,0.875,8.83,1.19393,3.746,-1207.2
