Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
400,24,20.434,75.321
400,24.5,20.348,74.989
400,25,20.265,74.666
400,25.5,20.186,74.354
400,26,20.109,74.051
400,26.5,20.035,73.757
400,27,19.964,73.473
400,27.5,19.896,73.197
400,28,19.831,72.929
400,28.5,19.768,72.67
400,29,19.708,72.417
400,29.5,19.65,72.173
400,30,19.594,71.935
400,30.5,19.541,71.704
400,31,19.489,71.479
400,31.5,19.44,71.26
400,32,19.392,71.047
400,32.5,19.347,70.84
400,33,19.303,70.638
400,33.5,19.26,70.442
400,34,19.22,70.25
400,34.5,19.181,70.063
400,35,19.143,69.88
400,35.5,19.107,69.701
400,36,19.072,69.527
410,8,24.922,93.472
410,8.5,24.801,92.742
410,9,24.68,92.038
410,9.5,24.558,91.359
410,10,24.435,90.7
410,10.5,24.312,90.062
410,11,24.188,89.44
410,11.5,24.065,88.835
410,12,23.94,88.245
410,12.5,23.816,87.668
410,13,23.692,87.105
410,13.5,23.568,86.553
410,14,23.444,86.014
410,14.5,23.321,85.486
410,15,23.198,84.969
410,15.5,23.076,84.462
410,16,22.955,83.966
410,16.5,22.835,83.48
410,17,22.717,83.004
410,17.5,22.6,82.539
410,18,22.484,82.083
410,18.5,22.371,81.638
410,19,22.259,81.202
410,19.5,22.15,80.777
410,20,22.042,80.362
410,20.5,21.937,79.956
410,21,21.835,79.561
410,21.5,21.734,79.175
410,22,21.637,78.8
410,22.5,21.542,78.434
410,23,21.45,78.077
410,23.5,21.36,77.73
410,24,21.273,77.393
410,24.5,21.189,77.064
410,25,21.107,76.745
410,25.5,21.028,76.434
410,26,20.951,76.132
410,26.5,20.878,75.838
410,27,20.806,75.552
410,27.5,20.737,75.274
410,28,20.671,75.003
410,28.5,20.607,74.74
410,29,20.545,74.484
410,29.5,20.485,74.235
410,30,20.427,73.992
410,30.5,20.372,73.756
410,31,20.318,73.526
410,31.5,20.267,73.302
410,32,20.217,73.084
410,32.5,20.169,72.871
410,33,20.123,72.663
410,33.5,20.078,72.46
410,34,20.035,72.262
410,34.5,19.993,72.069
410,35,19.953,71.881
410,35.5,19.915,71.696
410,36,19.877,71.516
420,8,25.447,94.738
420,8.5,25.336,94.029
420,9,25.223,93.347
420,9.5,25.11,92.69
420,10,24.997,92.054
420,10.5,24.883,91.439
420,11,24.77,90.841
420,11.5,24.656,90.26
420,12,24.542,89.694
420,12.5,24.428,89.142
420,13,24.314,88.603
420,13.5,24.2,88.077
420,14,24.087,87.563
420,14.5,23.974,87.06
420,15,23.861,86.568
420,15.5,23.75,86.086
420,16,23.639,85.614
420,16.5,23.529,85.152
420,17,23.42,84.7
420,17.5,23.313,84.257
420,18,23.206,83.823
420,18.5,23.101,83.399
420,19,22.998,82.983
420,19.5,22.896,82.577
420,20,22.796,82.179
420,20.5,22.698,81.79
420,21,22.602,81.41
420,21.5,22.508,81.039
420,22,22.416,80.676
420,22.5,22.325,80.322
420,23,22.238,79.976
420,23.5,22.152,79.639
420,24,22.068,79.309
420,24.5,21.987,78.988
420,25,21.907,78.674
420,25.5,21.83,78.368
420,26,21.756,78.07
420,26.5,21.683,77.779
420,27,21.613,77.495
420,27.5,21.544,77.218
420,28,21.478,76.949
420,28.5,21.414,76.685
420,29,21.352,76.429
420,29.5,21.291,76.178
420,30,21.233,75.934
420,30.5,21.177,75.696
420,31,21.122,75.464
420,31.5,21.069,75.237
420,32,21.018,75.015
420,32.5,20.969,74.799
420,33,20.921,74.588
420,33.5,20.875,74.381
420,34,20.83,74.18
420,34.5,20.787,73.982
420,35,20.746,73.79
420,35.5,20.705,73.601
420,36,20.666,73.417
430,8,25.966,95.958
430,8.5,25.861,95.267
430,9,25.757,94.603
430,9.5,25.652,93.964
430,10,25.547,93.348
430,10.5,25.441,92.752
430,11,25.336,92.174
430,11.5,25.231,91.612
430,12,25.125,91.067
430,12.5,25.02,90.535
430,13,24.915,90.017
430,13.5,24.81,89.512
430,14,24.705,89.019
430,14.5,24.601,88.536
430,15,24.498,88.065
430,15.5,24.395,87.603
430,16,24.292,87.152
430,16.5,24.191,86.71
430,17,24.091,86.277
430,17.5,23.991,85.853
430,18,23.893,85.438
430,18.5,23.796,85.032
430,19,23.7,84.634
430,19.5,23.605,84.244
430,20,23.512,83.863
430,20.5,23.42,83.489
430,21,23.33,83.124
430,21.5,23.242,82.766
430,22,23.155,82.416
430,22.5,23.07,82.073
430,23,22.986,81.738
430,23.5,22.905,81.411
430,24,22.825,81.09
430,24.5,22.747,80.777
430,25,22.671,80.471
430,25.5,22.597,80.172
430,26,22.525,79.879
430,26.5,22.454,79.593
430,27,22.385,79.314
430,27.5,22.319,79.041
430,28,22.254,78.774
430,28.5,22.19,78.513
430,29,22.129,78.258
430,29.5,22.069,78.009
430,30,22.011,77.766
430,30.5,21.955,77.528
430,31,21.9,77.295
430,31.5,21.847,77.068
430,32,21.796,76.845
430,32.5,21.746,76.628
430,33,21.698,76.415
430,33.5,21.651,76.207
430,34,21.605,76.003
430,34.5,21.561,75.804
430,35,21.519,75.609
430,35.5,21.477,75.418
430,36,21.437,75.231
440,8,26.478,97.137
440,8.5,26.381,96.461
440,9,26.283,95.813
440,9.5,26.185,95.19
440,10,26.087,94.59
440,10.5,25.989,94.01
440,11,25.891,93.449
440,11.5,25.792,92.904
440,12,25.694,92.376
440,12.5,25.597,91.862
440,13,25.499,91.361
440,13.5,25.402,90.873
440,14,25.305,90.397
440,14.5,25.208,89.932
440,15,25.112,89.478
440,15.5,25.017,89.034
440,16,24.922,88.6
440,16.5,24.828,88.174
440,17,24.735,87.758
440,17.5,24.643,87.351
440,18,24.551,86.952
440,18.5,24.461,86.561
440,19,24.371,86.179
440,19.5,24.283,85.804
440,20,24.196,85.436
440,20.5,24.11,85.076
440,21,24.026,84.724
440,21.5,23.943,84.378
440,22,23.861,84.04
440,22.5,23.781,83.709
440,23,23.702,83.384
440,23.5,23.625,83.067
440,24,23.549,82.756
440,24.5,23.475,82.451
440,25,23.403,82.153
440,25.5,23.332,81.861
440,26,23.262,81.575
440,26.5,23.194,81.295
440,27,23.128,81.021
440,27.5,23.063,80.753
440,28,23,80.49
440,28.5,22.939,80.233
440,29,22.879,79.982
440,29.5,22.82,79.735
440,30,22.763,79.494
440,30.5,22.708,79.258
440,31,22.654,79.027
440,31.5,22.601,78.801
440,32,22.55,78.579
440,32.5,22.501,78.362
440,33,22.452,78.15
440,33.5,22.405,77.941
440,34,22.36,77.737
440,34.5,22.315,77.537
440,35,22.272,77.341
440,35.5,22.23,77.149
440,36,22.19,76.961
450,8,26.987,98.279
450,8.5,26.895,97.616
450,9,26.803,96.982
450,9.5,26.711,96.373
450,10,26.619,95.787
450,10.5,26.528,95.221
450,11,26.436,94.674
450,11.5,26.344,94.144
450,12,26.253,93.63
450,12.5,26.161,93.131
450,13,26.07,92.645
450,13.5,25.98,92.172
450,14,25.889,91.711
450,14.5,25.799,91.261
450,15,25.71,90.821
450,15.5,25.621,90.392
450,16,25.533,89.972
450,16.5,25.445,89.562
450,17,25.358,89.16
450,17.5,25.272,88.766
450,18,25.187,88.381
450,18.5,25.103,88.004
450,19,25.019,87.635
450,19.5,24.937,87.272
450,20,24.855,86.918
450,20.5,24.775,86.57
450,21,24.696,86.229
450,21.5,24.618,85.895
450,22,24.541,85.567
450,22.5,24.465,85.246
450,23,24.391,84.932
450,23.5,24.318,84.623
450,24,24.246,84.321
450,24.5,24.176,84.025
450,25,24.106,83.735
450,25.5,24.039,83.45
450,26,23.972,83.171
450,26.5,23.907,82.898
450,27,23.844,82.63
450,27.5,23.781,82.367
450,28,23.721,82.109
450,28.5,23.661,81.857
450,29,23.603,81.61
450,29.5,23.546,81.367
450,30,23.491,81.129
450,30.5,23.437,80.896
450,31,23.384,80.668
450,31.5,23.332,80.444
450,32,23.282,80.224
450,32.5,23.233,80.009
450,33,23.185,79.797
450,33.5,23.139,79.59
450,34,23.094,79.387
450,34.5,23.049,79.187
450,35,23.007,78.992
450,35.5,22.965,78.8
450,36,22.924,78.611
460,8,27.491,99.388
460,8.5,27.405,98.737
460,9,27.319,98.115
460,9.5,27.232,97.518
460,10,27.146,96.944
460,10.5,27.06,96.391
460,11,26.974,95.856
460,11.5,26.888,95.339
460,12,26.802,94.838
460,12.5,26.716,94.351
460,13,26.631,93.878
460,13.5,26.546,93.418
460,14,26.462,92.969
460,14.5,26.378,92.532
460,15,26.294,92.105
460,15.5,26.211,91.689
460,16,26.129,91.281
460,16.5,26.047,90.883
460,17,25.965,90.494
460,17.5,25.885,90.113
460,18,25.805,89.739
460,18.5,25.726,89.374
460,19,25.648,89.016
460,19.5,25.57,88.665
460,20,25.494,88.321
460,20.5,25.418,87.984
460,21,25.344,87.654
460,21.5,25.271,87.33
460,22,25.198,87.012
460,22.5,25.127,86.701
460,23,25.056,86.395
460,23.5,24.987,86.095
460,24,24.919,85.801
460,24.5,24.853,85.513
460,25,24.787,85.23
460,25.5,24.722,84.953
460,26,24.659,84.68
460,26.5,24.597,84.413
460,27,24.536,84.151
460,27.5,24.476,83.894
460,28,24.418,83.642
460,28.5,24.361,83.395
460,29,24.305,83.152
460,29.5,24.25,82.914
460,30,24.196,82.68
460,30.5,24.144,82.45
460,31,24.092,82.225
460,31.5,24.042,82.004
460,32,23.993,81.787
460,32.5,23.945,81.574
460,33,23.899,81.365
460,33.5,23.853,81.16
460,34,23.808,80.958
460,34.5,23.765,80.76
460,35,23.722,80.565
460,35.5,23.681,80.374
460,36,23.641,80.187
470,8,27.994,100.47
470,8.5,27.912,99.828
470,9,27.831,99.216
470,9.5,27.749,98.629
470,10,27.668,98.066
470,10.5,27.587,97.524
470,11,27.506,97
470,11.5,27.425,96.494
470,12,27.344,96.003
470,12.5,27.264,95.528
470,13,27.184,95.066
470,13.5,27.104,94.617
470,14,27.025,94.179
470,14.5,26.946,93.753
470,15,26.867,93.338
470,15.5,26.789,92.932
470,16,26.712,92.536
470,16.5,26.635,92.148
470,17,26.559,91.77
470,17.5,26.483,91.399
470,18,26.408,91.036
470,18.5,26.334,90.681
470,19,26.26,90.333
470,19.5,26.188,89.993
470,20,26.116,89.658
470,20.5,26.045,89.331
470,21,25.975,89.01
470,21.5,25.905,88.695
470,22,25.837,88.386
470,22.5,25.769,88.083
470,23,25.703,87.786
470,23.5,25.638,87.494
470,24,25.573,87.208
470,24.5,25.51,86.927
470,25,25.447,86.651
470,25.5,25.386,86.38
470,26,25.326,86.114
470,26.5,25.267,85.853
470,27,25.208,85.597
470,27.5,25.151,85.346
470,28,25.095,85.099
470,28.5,25.04,84.856
470,29,24.986,84.618
470,29.5,24.934,84.384
470,30,24.882,84.155
470,30.5,24.831,83.929
470,31,24.782,83.708
470,31.5,24.733,83.49
470,32,24.685,83.276
470,32.5,24.639,83.066
470,33,24.593,82.859
470,33.5,24.549,82.656
470,34,24.505,82.457
470,34.5,24.463,82.261
470,35,24.421,82.068
470,35.5,24.381,81.879
470,36,24.341,81.693
480,8,28.494,101.52
480,8.5,28.417,100.89
480,9,28.34,100.29
480,9.5,28.263,99.71
480,10,28.186,99.156
480,10.5,28.109,98.624
480,11,28.033,98.11
480,11.5,27.956,97.613
480,12,27.88,97.132
480,12.5,27.805,96.666
480,13,27.729,96.214
480,13.5,27.654,95.775
480,14,27.579,95.347
480,14.5,27.505,94.931
480,15,27.431,94.525
480,15.5,27.358,94.129
480,16,27.285,93.742
480,16.5,27.213,93.365
480,17,27.141,92.995
480,17.5,27.07,92.634
480,18,26.999,92.281
480,18.5,26.929,91.935
480,19,26.86,91.596
480,19.5,26.791,91.264
480,20,26.724,90.938
480,20.5,26.656,90.619
480,21,26.59,90.306
480,21.5,26.525,89.999
480,22,26.46,89.698
480,22.5,26.396,89.403
480,23,26.334,89.113
480,23.5,26.272,88.829
480,24,26.21,88.549
480,24.5,26.15,88.275
480,25,26.091,88.006
480,25.5,26.033,87.741
480,26,25.975,87.482
480,26.5,25.919,87.227
480,27,25.863,86.976
480,27.5,25.809,86.73
480,28,25.755,86.488
480,28.5,25.703,86.251
480,29,25.651,86.017
480,29.5,25.6,85.788
480,30,25.55,85.562
480,30.5,25.502,85.341
480,31,25.454,85.123
480,31.5,25.407,84.909
480,32,25.361,84.698
480,32.5,25.316,84.491
480,33,25.272,84.287
480,33.5,25.229,84.087
480,34,25.186,83.89
480,34.5,25.145,83.697
480,35,25.104,83.506
480,35.5,25.065,83.319
480,36,25.026,83.134
490,8,28.993,102.55
490,8.5,28.919,101.93
490,9,28.846,101.33
490,9.5,28.773,100.76
490,10,28.701,100.22
490,10.5,28.628,99.694
490,11,28.556,99.188
490,11.5,28.484,98.7
490,12,28.412,98.228
490,12.5,28.34,97.771
490,13,28.269,97.327
490,13.5,28.198,96.897
490,14,28.128,96.478
490,14.5,28.057,96.07
490,15,27.988,95.673
490,15.5,27.918,95.285
490,16,27.85,94.907
490,16.5,27.781,94.538
490,17,27.714,94.177
490,17.5,27.646,93.824
490,18,27.58,93.478
490,18.5,27.514,93.14
490,19,27.448,92.809
490,19.5,27.384,92.485
490,20,27.32,92.167
490,20.5,27.256,91.856
490,21,27.194,91.551
490,21.5,27.132,91.251
490,22,27.071,90.957
490,22.5,27.01,90.669
490,23,26.951,90.386
490,23.5,26.892,90.108
490,24,26.834,89.835
490,24.5,26.777,89.567
490,25,26.72,89.304
490,25.5,26.665,89.045
490,26,26.61,88.791
490,26.5,26.556,88.541
490,27,26.503,88.296
490,27.5,26.451,88.055
490,28,26.4,87.818
490,28.5,26.35,87.585
490,29,26.3,87.356
490,29.5,26.252,87.131
490,30,26.204,86.91
490,30.5,26.157,86.692
490,31,26.111,86.478
490,31.5,26.066,86.267
490,32,26.021,86.06
490,32.5,25.978,85.856
490,33,25.935,85.656
490,33.5,25.893,85.458
490,34,25.852,85.264
490,34.5,25.812,85.073
490,35,25.773,84.885
490,35.5,25.734,84.7
490,36,25.696,84.517
500,8,29.49,103.56
500,8.5,29.421,102.94
500,9,29.351,102.35
500,9.5,29.282,101.79
500,10,29.213,101.25
500,10.5,29.144,100.74
500,11,29.076,100.24
500,11.5,29.007,99.759
500,12,28.939,99.294
500,12.5,28.872,98.845
500,13,28.804,98.409
500,13.5,28.737,97.986
500,14,28.67,97.574
500,14.5,28.604,97.174
500,15,28.538,96.785
500,15.5,28.473,96.405
500,16,28.408,96.034
500,16.5,28.343,95.672
500,17,28.279,95.319
500,17.5,28.215,94.973
500,18,28.152,94.635
500,18.5,28.09,94.304
500,19,28.028,93.98
500,19.5,27.967,93.663
500,20,27.906,93.352
500,20.5,27.846,93.048
500,21,27.787,92.749
500,21.5,27.728,92.456
500,22,27.67,92.168
500,22.5,27.613,91.886
500,23,27.556,91.609
500,23.5,27.5,91.337
500,24,27.445,91.07
500,24.5,27.391,90.808
500,25,27.337,90.55
500,25.5,27.285,90.297
500,26,27.232,90.048
500,26.5,27.181,89.804
500,27,27.131,89.563
500,27.5,27.081,89.327
500,28,27.032,89.095
500,28.5,26.984,88.866
500,29,26.936,88.641
500,29.5,26.89,88.42
500,30,26.844,88.203
500,30.5,26.799,87.989
500,31,26.755,87.778
500,31.5,26.711,87.571
500,32,26.669,87.368
500,32.5,26.627,87.167
500,33,26.586,86.969
500,33.5,26.545,86.775
500,34,26.506,86.584
500,34.5,26.467,86.395
500,35,26.429,86.21
500,35.5,26.391,86.027
500,36,26.354,85.847
510,8,29.988,104.54
510,8.5,29.921,103.93
510,9,29.855,103.35
510,9.5,29.79,102.8
510,10,29.724,102.27
510,10.5,29.659,101.76
510,11,29.593,101.26
510,11.5,29.529,100.79
510,12,29.464,100.33
510,12.5,29.4,99.89
510,13,29.336,99.461
510,13.5,29.272,99.045
510,14,29.209,98.641
510,14.5,29.146,98.247
510,15,29.083,97.864
510,15.5,29.021,97.491
510,16,28.96,97.127
510,16.5,28.899,96.772
510,17,28.838,96.425
510,17.5,28.778,96.086
510,18,28.718,95.755
510,18.5,28.659,95.431
510,19,28.6,95.113
510,19.5,28.542,94.802
510,20,28.485,94.498
510,20.5,28.428,94.199
510,21,28.371,93.906
510,21.5,28.316,93.619
510,22,28.261,93.337
510,22.5,28.206,93.061
510,23,28.152,92.79
510,23.5,28.099,92.523
510,24,28.047,92.261
510,24.5,27.995,92.004
510,25,27.944,91.752
510,25.5,27.894,91.503
510,26,27.844,91.259
510,26.5,27.795,91.02
510,27,27.747,90.784
510,27.5,27.699,90.552
510,28,27.653,90.324
510,28.5,27.607,90.099
510,29,27.561,89.879
510,29.5,27.517,89.662
510,30,27.473,89.448
510,30.5,27.429,89.238
510,31,27.387,89.031
510,31.5,27.345,88.827
510,32,27.304,88.626
510,32.5,27.264,88.429
510,33,27.224,88.234
510,33.5,27.185,88.043
510,34,27.147,87.854
510,34.5,27.11,87.668
510,35,27.073,87.485
510,35.5,27.037,87.305
510,36,27.001,87.127
520,8,30.484,105.5
520,8.5,30.421,104.9
520,9,30.359,104.33
520,9.5,30.296,103.78
520,10,30.233,103.25
520,10.5,30.171,102.75
520,11,30.109,102.27
520,11.5,30.048,101.8
520,12,29.986,101.35
520,12.5,29.925,100.91
520,13,29.864,100.49
520,13.5,29.804,100.08
520,14,29.744,99.679
520,14.5,29.684,99.292
520,15,29.625,98.915
520,15.5,29.566,98.548
520,16,29.507,98.191
520,16.5,29.449,97.841
520,17,29.391,97.5
520,17.5,29.334,97.167
520,18,29.278,96.842
520,18.5,29.221,96.523
520,19,29.166,96.212
520,19.5,29.111,95.906
520,20,29.056,95.607
520,20.5,29.002,95.314
520,21,28.948,95.027
520,21.5,28.895,94.745
520,22,28.843,94.469
520,22.5,28.791,94.197
520,23,28.74,93.931
520,23.5,28.69,93.669
520,24,28.64,93.413
520,24.5,28.59,93.16
520,25,28.542,92.912
520,25.5,28.494,92.669
520,26,28.446,92.429
520,26.5,28.4,92.194
520,27,28.354,91.962
520,27.5,28.308,91.734
520,28,28.264,91.51
520,28.5,28.219,91.29
520,29,28.176,91.073
520,29.5,28.133,90.859
520,30,28.091,90.649
520,30.5,28.05,90.442
520,31,28.009,90.239
520,31.5,27.969,90.038
520,32,27.93,89.841
520,32.5,27.891,89.646
520,33,27.853,89.455
520,33.5,27.815,89.266
520,34,27.778,89.08
520,34.5,27.742,88.897
520,35,27.707,88.716
520,35.5,27.672,88.538
520,36,27.637,88.363
530,8,30.981,106.45
530,8.5,30.921,105.85
530,9,30.861,105.28
530,9.5,30.801,104.74
530,10,30.742,104.22
530,10.5,30.683,103.72
530,11,30.624,103.25
530,11.5,30.565,102.78
530,12,30.506,102.34
530,12.5,30.448,101.91
530,13,30.39,101.49
530,13.5,30.333,101.09
530,14,30.276,100.69
530,14.5,30.219,100.31
530,15,30.162,99.94
530,15.5,30.106,99.578
530,16,30.051,99.226
530,16.5,29.995,98.882
530,17,29.941,98.547
530,17.5,29.886,98.219
530,18,29.832,97.899
530,18.5,29.779,97.585
530,19,29.726,97.279
530,19.5,29.674,96.979
530,20,29.622,96.685
530,20.5,29.57,96.397
530,21,29.519,96.114
530,21.5,29.469,95.837
530,22,29.419,95.566
530,22.5,29.37,95.299
530,23,29.321,95.037
530,23.5,29.273,94.78
530,24,29.225,94.528
530,24.5,29.178,94.28
530,25,29.132,94.036
530,25.5,29.086,93.797
530,26,29.041,93.561
530,26.5,28.996,93.33
530,27,28.952,93.102
530,27.5,28.909,92.878
530,28,28.866,92.658
530,28.5,28.824,92.441
530,29,28.782,92.228
530,29.5,28.741,92.018
530,30,28.701,91.811
530,30.5,28.661,91.607
530,31,28.622,91.407
530,31.5,28.584,91.209
530,32,28.546,91.015
530,32.5,28.509,90.823
530,33,28.472,90.634
530,33.5,28.436,90.448
530,34,28.401,90.265
530,34.5,28.366,90.084
530,35,28.331,89.906
530,35.5,28.298,89.731
530,36,28.265,89.558
540,8,31.478,107.38
540,8.5,31.421,106.79
540,9,31.363,106.22
540,9.5,31.306,105.69
540,10,31.25,105.17
540,10.5,31.193,104.68
540,11,31.137,104.2
540,11.5,31.081,103.75
540,12,31.025,103.31
540,12.5,30.97,102.88
540,13,30.914,102.47
540,13.5,30.86,102.07
540,14,30.805,101.68
540,14.5,30.751,101.31
540,15,30.697,100.94
540,15.5,30.644,100.58
540,16,30.591,100.24
540,16.5,30.538,99.897
540,17,30.486,99.566
540,17.5,30.434,99.244
540,18,30.383,98.928
540,18.5,30.332,98.62
540,19,30.282,98.318
540,19.5,30.232,98.022
540,20,30.182,97.733
540,20.5,30.133,97.449
540,21,30.085,97.172
540,21.5,30.037,96.899
540,22,29.989,96.632
540,22.5,29.942,96.369
540,23,29.896,96.112
540,23.5,29.85,95.859
540,24,29.805,95.611
540,24.5,29.76,95.367
540,25,29.715,95.127
540,25.5,29.672,94.892
540,26,29.629,94.66
540,26.5,29.586,94.432
540,27,29.544,94.208
540,27.5,29.502,93.988
540,28,29.461,93.771
540,28.5,29.421,93.557
540,29,29.381,93.347
540,29.5,29.342,93.14
540,30,29.303,92.937
540,30.5,29.265,92.736
540,31,29.228,92.539
540,31.5,29.191,92.344
540,32,29.155,92.152
540,32.5,29.119,91.963
540,33,29.083,91.777
540,33.5,29.049,91.594
540,34,29.015,91.413
540,34.5,28.981,91.235
540,35,28.948,91.059
540,35.5,28.916,90.886
540,36,28.884,90.715
550,8,31.976,108.29
550,8.5,31.921,107.7
550,9,31.866,107.15
550,9.5,31.811,106.61
550,10,31.757,106.1
550,10.5,31.703,105.61
550,11,31.649,105.14
550,11.5,31.596,104.69
550,12,31.543,104.26
550,12.5,31.49,103.84
550,13,31.437,103.43
550,13.5,31.385,103.03
550,14,31.333,102.65
550,14.5,31.281,102.28
550,15,31.23,101.92
550,15.5,31.179,101.57
550,16,31.129,101.22
550,16.5,31.078,100.89
550,17,31.029,100.56
550,17.5,30.979,100.24
550,18,30.93,99.932
550,18.5,30.882,99.628
550,19,30.834,99.331
550,19.5,30.786,99.039
550,20,30.739,98.754
550,20.5,30.692,98.475
550,21,30.646,98.201
550,21.5,30.6,97.933
550,22,30.555,97.669
550,22.5,30.51,97.411
550,23,30.466,97.157
550,23.5,30.422,96.908
550,24,30.378,96.664
550,24.5,30.336,96.424
550,25,30.293,96.188
550,25.5,30.252,95.955
550,26,30.21,95.727
550,26.5,30.169,95.503
550,27,30.129,95.282
550,27.5,30.09,95.065
550,28,30.05,94.851
550,28.5,30.012,94.641
550,29,29.974,94.434
550,29.5,29.936,94.23
550,30,29.899,94.029
550,30.5,29.862,93.832
550,31,29.827,93.637
550,31.5,29.791,93.445
550,32,29.756,93.256
550,32.5,29.722,93.07
550,33,29.688,92.886
550,33.5,29.655,92.705
550,34,29.622,92.527
550,34.5,29.589,92.351
550,35,29.558,92.178
550,35.5,29.526,92.007
550,36,29.496,91.838
560,8,32.473,109.19
560,8.5,32.421,108.61
560,9,32.368,108.05
560,9.5,32.316,107.52
560,10,32.264,107.02
560,10.5,32.213,106.53
560,11,32.161,106.07
560,11.5,32.11,105.62
560,12,32.059,105.19
560,12.5,32.009,104.77
560,13,31.959,104.37
560,13.5,31.909,103.98
560,14,31.859,103.6
560,14.5,31.81,103.23
560,15,31.761,102.87
560,15.5,31.712,102.53
560,16,31.664,102.19
560,16.5,31.616,101.86
560,17,31.569,101.53
560,17.5,31.522,101.22
560,18,31.475,100.91
560,18.5,31.429,100.61
560,19,31.383,100.32
560,19.5,31.337,100.03
560,20,31.292,99.751
560,20.5,31.247,99.475
560,21,31.203,99.205
560,21.5,31.16,98.941
560,22,31.116,98.681
560,22.5,31.073,98.426
560,23,31.031,98.176
560,23.5,30.989,97.931
560,24,30.948,97.69
560,24.5,30.907,97.453
560,25,30.866,97.22
560,25.5,30.826,96.991
560,26,30.787,96.766
560,26.5,30.748,96.545
560,27,30.709,96.328
560,27.5,30.671,96.113
560,28,30.634,95.903
560,28.5,30.597,95.695
560,29,30.56,95.491
560,29.5,30.524,95.29
560,30,30.489,95.092
560,30.5,30.454,94.897
560,31,30.419,94.705
560,31.5,30.385,94.516
560,32,30.352,94.329
560,32.5,30.319,94.146
560,33,30.286,93.964
560,33.5,30.254,93.786
560,34,30.223,93.61
560,34.5,30.191,93.436
560,35,30.161,93.265
560,35.5,30.131,93.096
560,36,30.101,92.929
570,8,32.972,110.07
570,8.5,32.921,109.49
570,9,32.871,108.94
570,9.5,32.821,108.42
570,10,32.772,107.92
570,10.5,32.722,107.43
570,11,32.673,106.97
570,11.5,32.624,106.53
570,12,32.576,106.1
570,12.5,32.527,105.69
570,13,32.479,105.29
570,13.5,32.431,104.9
570,14,32.384,104.53
570,14.5,32.337,104.16
570,15,32.29,103.81
570,15.5,32.244,103.47
570,16,32.198,103.13
570,16.5,32.152,102.81
570,17,32.107,102.49
570,17.5,32.062,102.18
570,18,32.017,101.87
570,18.5,31.973,101.58
570,19,31.929,101.29
570,19.5,31.885,101
570,20,31.842,100.72
570,20.5,31.8,100.45
570,21,31.757,100.19
570,21.5,31.716,99.925
570,22,31.674,99.669
570,22.5,31.633,99.417
570,23,31.593,99.171
570,23.5,31.553,98.928
570,24,31.513,98.69
570,24.5,31.474,98.457
570,25,31.435,98.227
570,25.5,31.397,98.001
570,26,31.359,97.779
570,26.5,31.322,97.561
570,27,31.285,97.346
570,27.5,31.249,97.135
570,28,31.213,96.927
570,28.5,31.177,96.723
570,29,31.142,96.521
570,29.5,31.108,96.323
570,30,31.074,96.127
570,30.5,31.04,95.935
570,31,31.007,95.745
570,31.5,30.974,95.558
570,32,30.942,95.374
570,32.5,30.91,95.193
570,33,30.879,95.014
570,33.5,30.848,94.837
570,34,30.818,94.663
570,34.5,30.788,94.492
570,35,30.759,94.322
570,35.5,30.73,94.155
570,36,30.701,93.991
580,8,33.471,110.94
580,8.5,33.423,110.36
580,9,33.375,109.82
580,9.5,33.327,109.3
580,10,33.279,108.8
580,10.5,33.232,108.32
580,11,33.185,107.86
580,11.5,33.138,107.42
580,12,33.091,107
580,12.5,33.045,106.59
580,13,32.999,106.19
580,13.5,32.953,105.81
580,14,32.908,105.44
580,14.5,32.863,105.08
580,15,32.818,104.73
580,15.5,32.774,104.39
580,16,32.73,104.06
580,16.5,32.686,103.73
580,17,32.643,103.42
580,17.5,32.6,103.11
580,18,32.557,102.81
580,18.5,32.515,102.52
580,19,32.473,102.23
580,19.5,32.431,101.95
580,20,32.39,101.68
580,20.5,32.349,101.41
580,21,32.309,101.15
580,21.5,32.269,100.89
580,22,32.229,100.63
580,22.5,32.19,100.39
580,23,32.151,100.14
580,23.5,32.113,99.903
580,24,32.075,99.668
580,24.5,32.038,99.437
580,25,32.001,99.21
580,25.5,31.964,98.987
580,26,31.928,98.768
580,26.5,31.892,98.553
580,27,31.857,98.341
580,27.5,31.822,98.132
580,28,31.787,97.927
580,28.5,31.753,97.725
580,29,31.72,97.526
580,29.5,31.687,97.33
580,30,31.654,97.137
580,30.5,31.622,96.947
580,31,31.59,96.759
580,31.5,31.559,96.575
580,32,31.528,96.393
580,32.5,31.497,96.213
580,33,31.467,96.037
580,33.5,31.438,95.862
580,34,31.408,95.69
580,34.5,31.38,95.521
580,35,31.351,95.353
580,35.5,31.323,95.188
580,36,31.296,95.025
590,8,33.971,111.8
590,8.5,33.925,111.22
590,9,33.879,110.68
590,9.5,33.833,110.16
590,10,33.787,109.67
590,10.5,33.742,109.19
590,11,33.697,108.74
590,11.5,33.652,108.3
590,12,33.607,107.88
590,12.5,33.563,107.47
590,13,33.519,107.08
590,13.5,33.475,106.7
590,14,33.432,106.33
590,14.5,33.389,105.98
590,15,33.346,105.63
590,15.5,33.303,105.29
590,16,33.261,104.96
590,16.5,33.219,104.65
590,17,33.178,104.33
590,17.5,33.136,104.03
590,18,33.096,103.73
590,18.5,33.055,103.44
590,19,33.015,103.16
590,19.5,32.975,102.88
