Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
306,16.5,11.657,51.649
306,17,11.629,51.473
306,17.5,11.603,51.303
306,18,11.578,51.139
306,18.5,11.555,50.98
306,19,11.534,50.827
306,19.5,11.513,50.678
306,20,11.494,50.534
306,20.5,11.476,50.394
306,21,11.46,50.257
306,21.5,11.444,50.124
306,22,11.429,49.994
306,22.5,11.415,49.867
306,23,11.401,49.743
306,23.5,11.389,49.622
306,24,11.377,49.504
306,24.5,11.365,49.388
306,25,11.355,49.274
306,25.5,11.345,49.163
306,26,11.336,49.053
306,26.5,11.327,48.946
306,27,11.318,48.841
306,27.5,11.31,48.737
306,28,11.303,48.635
306,28.5,11.296,48.535
306,29,11.29,48.437
306,29.5,11.284,48.34
306,30,11.278,48.244
306,30.5,11.273,48.15
306,31,11.268,48.058
306,31.5,11.263,47.967
306,32,11.259,47.877
306,32.5,11.255,47.788
306,33,11.251,47.7
306,33.5,11.248,47.614
306,34,11.245,47.529
306,34.5,11.242,47.445
306,35,11.24,47.362
306,35.5,11.238,47.28
306,36,11.236,47.199
308,8,15.296,65.098
308,8.5,13.534,59.246
308,9,13.124,57.804
308,9.5,12.885,56.925
308,10,12.715,56.272
308,10.5,12.583,55.743
308,11,12.474,55.294
308,11.5,12.382,54.9
308,12,12.303,54.548
308,12.5,12.232,54.228
308,13,12.17,53.934
308,13.5,12.114,53.662
308,14,12.063,53.408
308,14.5,12.017,53.169
308,15,11.975,52.943
308,15.5,11.936,52.729
308,16,11.9,52.526
308,16.5,11.866,52.331
308,17,11.835,52.145
308,17.5,11.806,51.966
308,18,11.779,51.794
308,18.5,11.754,51.628
308,19,11.73,51.468
308,19.5,11.708,51.312
308,20,11.687,51.162
308,20.5,11.667,51.016
308,21,11.649,50.874
308,21.5,11.631,50.736
308,22,11.615,50.601
308,22.5,11.599,50.47
308,23,11.585,50.342
308,23.5,11.571,50.216
308,24,11.558,50.094
308,24.5,11.546,49.974
308,25,11.534,49.857
308,25.5,11.523,49.743
308,26,11.513,49.63
308,26.5,11.503,49.52
308,27,11.494,49.411
308,27.5,11.485,49.305
308,28,11.477,49.201
308,28.5,11.469,49.098
308,29,11.462,48.997
308,29.5,11.455,48.898
308,30,11.448,48.8
308,30.5,11.443,48.704
308,31,11.437,48.609
308,31.5,11.432,48.516
308,32,11.427,48.424
308,32.5,11.422,48.333
308,33,11.418,48.244
308,33.5,11.414,48.156
308,34,11.411,48.069
308,34.5,11.407,47.983
308,35,11.404,47.898
308,35.5,11.402,47.814
308,36,11.399,47.732
310,8,16.809,69.998
310,8.5,14.617,62.75
310,9,13.691,59.641
310,9.5,13.318,58.325
310,10,13.084,57.465
310,10.5,12.913,56.813
310,11,12.779,56.28
310,11.5,12.668,55.825
310,12,12.574,55.427
310,12.5,12.493,55.07
310,13,12.421,54.745
310,13.5,12.357,54.447
310,14,12.299,54.171
310,14.5,12.247,53.914
310,15,12.2,53.671
310,15.5,12.156,53.443
310,16,12.116,53.226
310,16.5,12.079,53.02
310,17,12.045,52.823
310,17.5,12.013,52.634
310,18,11.983,52.453
310,18.5,11.955,52.279
310,19,11.929,52.111
310,19.5,11.905,51.948
310,20,11.882,51.791
310,20.5,11.86,51.639
310,21,11.84,51.491
310,21.5,11.821,51.348
310,22,11.803,51.208
310,22.5,11.786,51.072
310,23,11.77,50.94
310,23.5,11.754,50.81
310,24,11.74,50.684
310,24.5,11.727,50.56
310,25,11.714,50.44
310,25.5,11.702,50.321
310,26,11.69,50.206
310,26.5,11.68,50.092
310,27,11.67,49.981
310,27.5,11.66,49.872
310,28,11.651,49.764
310,28.5,11.642,49.659
310,29,11.634,49.556
310,29.5,11.627,49.454
310,30,11.62,49.354
310,30.5,11.613,49.255
310,31,11.607,49.158
310,31.5,11.601,49.063
310,32,11.595,48.969
310,32.5,11.59,48.876
310,33,11.585,48.785
310,33.5,11.581,48.695
310,34,11.577,48.606
310,34.5,11.573,48.519
310,35,11.569,48.432
310,35.5,11.566,48.347
310,36,11.563,48.263
312,8,17.459,72.088
312,8.5,16.112,67.558
312,9,14.506,62.26
312,9.5,13.846,60.022
312,10,13.504,58.816
312,10.5,13.277,57.98
312,11,13.107,57.333
312,11.5,12.971,56.8
312,12,12.859,56.342
312,12.5,12.763,55.94
312,13,12.68,55.58
312,13.5,12.607,55.252
312,14,12.542,54.951
312,14.5,12.483,54.671
312,15,12.43,54.41
312,15.5,12.381,54.165
312,16,12.336,53.934
312,16.5,12.295,53.715
312,17,12.257,53.506
312,17.5,12.222,53.307
312,18,12.189,53.116
312,18.5,12.158,52.933
312,19,12.13,52.757
312,19.5,12.103,52.587
312,20,12.078,52.423
312,20.5,12.054,52.264
312,21,12.032,52.11
312,21.5,12.011,51.961
312,22,11.992,51.816
312,22.5,11.973,51.675
312,23,11.956,51.538
312,23.5,11.939,51.404
312,24,11.923,51.273
312,24.5,11.909,51.146
312,25,11.895,51.021
